"순번","노선명(도로명)","도로종류","도로기능","도로규모","도로폭","시도구도구분"
"3248","도봉로20나길","일반도로","국지도로","소로","6m미만","구도"
"3249","도봉로21길","일반도로","국지도로","소로","6m미만","구도"
"3250","도봉로22길","일반도로","국지도로","소로","6m미만","구도"
"3251","도봉로23가길","일반도로","국지도로","소로","6m미만","구도"
"3252","도봉로23길","일반도로","국지도로","소로","6m미만","구도"
"3253","도봉로23나길","일반도로","국지도로","소로","6m미만","구도"
"3254","도봉로24길","일반도로","국지도로","소로","6m미만","구도"
"3255","도봉로25길","일반도로","국지도로","소로","6m미만","구도"
"3256","도봉로26길","일반도로","국지도로","소로","6m미만","구도"
"3257","도봉로27길","일반도로","국지도로","소로","6m미만","구도"
"3258","도봉로28가길","일반도로","국지도로","소로","6m미만","구도"
"3259","도봉로28길","일반도로","국지도로","소로","6m미만","구도"
"3260","도봉로28나길","일반도로","국지도로","소로","6m미만","구도"
"3261","도봉로29길","일반도로","국지도로","소로","6m미만","구도"
"3262","도봉로3가길","일반도로","국지도로","소로","6m미만","구도"
"3263","도봉로3길","일반도로","국지도로","소로","6m미만","구도"
"3264","도봉로3나길","일반도로","국지도로","소로","6m미만","구도"
"3265","도봉로30길","일반도로","국지도로","소로","6m미만","구도"
"3266","도봉로31길","일반도로","국지도로","소로","6m미만","구도"
"3267","도봉로32길","일반도로","국지도로","소로","6m미만","구도"
"3268","도봉로33길","일반도로","국지도로","소로","6m미만","구도"
"3269","도봉로34길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3270","도봉로35길","일반도로","국지도로","소로","6m미만","구도"
"3271","도봉로36길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3272","도봉로37길","일반도로","국지도로","소로","6m미만","구도"
"3273","도봉로38길","일반도로","국지도로","소로","6m미만","구도"
"3274","도봉로39길","일반도로","국지도로","소로","6m미만","구도"
"3275","도봉로4길","일반도로","국지도로","소로2류","폭8-10m","구도"
"3276","도봉로41길","일반도로","국지도로","소로","6m미만","구도"
"3277","도봉로45길","일반도로","국지도로","소로","6m미만","구도"
"3278","도봉로46길","일반도로","국지도로","소로","6m미만","구도"
"3279","도봉로47길","일반도로","국지도로","소로","6m미만","구도"
"3280","도봉로49길","일반도로","국지도로","소로","6m미만","구도"
"3281","도봉로50길","일반도로","국지도로","소로","6m미만","구도"
"3282","도봉로51길","일반도로","국지도로","소로","6m미만","구도"
"3283","도봉로53가길","일반도로","국지도로","소로","6m미만","구도"
"3284","도봉로53길","일반도로","국지도로","소로","6m미만","구도"
"3285","도봉로54길","일반도로","국지도로","소로","6m미만","구도"
"3286","도봉로55길","일반도로","국지도로","소로","6m미만","구도"
"3287","도봉로57길","일반도로","국지도로","소로","6m미만","구도"
"3288","도봉로59길","일반도로","국지도로","소로","6m미만","구도"
"3289","도봉로6길","일반도로","국지도로","소로","6m미만","구도"
"3290","도봉로61길","일반도로","국지도로","소로","6m미만","구도"
"3291","도봉로63길","일반도로","국지도로","소로","6m미만","구도"
"3292","도봉로65길","일반도로","국지도로","소로","6m미만","구도"
"3293","도봉로66길","일반도로","국지도로","소로2류","폭8-10m","구도"
"3294","도봉로67가길","일반도로","국지도로","소로","6m미만","구도"
"3295","도봉로67길","일반도로","국지도로","소로","6m미만","구도"
"3296","도봉로67나길","일반도로","국지도로","소로","6m미만","구도"
"3297","도봉로67다길","일반도로","국지도로","소로","6m미만","구도"
"3298","도봉로68길","일반도로","국지도로","소로","6m미만","구도"
